Participant name: 
Nausea Reduction: False
Claustrophobia Reduction: False
Experiment Date & Time: 2019-Mar-21 12:03
Configuration Type: default
Configuration File Name: --
Application Version: 1.6

Global_Time_Seconds,Current_Day,Day_Time_Seconds,Current_State,Head_X_Position_Meters,Head_Y_Position_Meters,Head_Z_Position_Meters,Head_X_Rotation_Degrees,Head_Y_Rotation_Degrees,Head_Z_Rotation_Degrees,L_Hand_X_Position_Meters,L_Hand_Y_Position_Meters,L_Hand_Z_Position_Meters,R_Hand_X_Position_Meters,R_Hand_Y_Position_Meters,R_Hand_Z_Position_Meters,Bucket_X_Position_Meters,Bucket_Y_Position_Meters,Bucket_Z_Position_Meters,Avg_Moving_Speed_Last_Second_M/sec,Current_Water_In_Bucket,Cumulative_Water_Carried,Today_Water_Carried,Cumulative_Water_Spilled,Today_Water_Spilled,Cumulative_Water_Delivered,Today_Water_Delivered,Total_Score,Today_Score,Current_Pay_Per_Drop,Shake_Impairment_Day_Current_Strength_Pcnt,Shake_Impairment_Day_Initial_Strength_Pcnt,Seconds_Waited_Treatment_Day,Amount_Payed_Treatment_Day,Seconds_Waited_Treatment_Total,Amount_Payed_For_Treatment_Total
49.26143,0,0,RUNNING,0.1694634,0.5077752,0.7021223,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002421703,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.26595,0,0,RUNNING,0.1694061,0.5078068,0.7020697,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,8.401071E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51.27132,0,0,RUNNING,0.1692981,0.5077986,0.70212,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001193941,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52.27619,0,0,RUNNING,0.1693039,0.5080203,0.7020348,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002376251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53.28159,0,0,RUNNING,0.1694305,0.5079136,0.7021301,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001910806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54.28697,0,0,RUNNING,0.1693661,0.5078421,0.7020634,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.000117059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55.29251,0,0,RUNNING,0.1694358,0.507822,0.70208,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,7.448158E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56.29743,0,0,RUNNING,0.1693317,0.50798,0.7020999,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001903839,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57.30296,0,0,RUNNING,0.1692708,0.5077084,0.7021376,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002809532,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58.30795,0,0,RUNNING,0.1694007,0.5079083,0.7020702,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002477223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
